IMEI,bank,car,money,stock,size,province,global,shopping,it,food,estate,health,economy,trip,sports,car,issue,social,entertain,job,edu,other,game
2ab41bf4da442c8b2f3306c28d15d919,0,0,0,0,180,1,0,4,9,0,3,0,0,0,0,0,3,0,0,0,0,0,0
d2aa3932a2e30174c48db0903c5d6be7,2,0,0,0,138,1,1,17,548,0,0,0,5,0,0,0,29,11,1,0,14,0,23
2d2ffd78336770d589a239943a3b8491,0,0,0,889,3,0,0,3288,1220,0,19,0,323,5,0,0,210,103,25,0,1,0,131
181271cc81d8e27efcf88dd8a67233b6,0,0,0,0,23,0,0,692,294,0,0,0,0,0,0,0,8,0,19,0,0,0,70
1e1528b7c57a948b0c3bd05eec973478,0,0,0,0,21,1,0,7192,334,0,0,0,1,0,0,0,102,0,0,0,0,0,548
0819c551679a892e62a3b676063464a4,0,0,0,0,62,1,0,199,1559,0,0,0,21,0,0,0,20,0,0,0,1,0,5
5a2ba95a9c4540a79887f0e7b2c843f4,6,0,0,0,47,1,0,62,107,0,0,0,0,65,0,0,0,1,0,0,0,0,2
a012d1114e7192f02c469290751dfca5,0,0,0,0,14,0,0,893,858,0,14,0,20,0,0,0,141,0,363,0,115,0,125
72d894096a281222f728f2b62f46393d,0,0,0,0,29,0,0,210,394,0,0,0,0,0,0,0,0,4,0,0,0,0,20
69f75727d326b51809276b38b5e6cc15,0,0,0,191,38,0,0,129,72,0,0,0,205,0,0,0,23,0,0,0,0,0,4
52e581a6cd8e89fd0bffadca908bef68,0,0,0,457,73,1,0,144,1533,0,0,0,473,0,0,0,0,3,0,0,4,0,51
805f3b8e9c6184f4b134c5e9a3fc8afd,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89b1e43223d21fb027714dc1ab4d10dd,0,0,0,3397,29,1,0,505,2849,0,0,19,3056,505,60,0,79,0,0,0,23,0,41
aab64fe87c685dc139aec34d91811e7d,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46d5a440882eb59dae0fe5a49420c6bf,0,0,0,0,20,0,0,140,78,0,0,0,0,0,0,0,62,0,0,0,0,0,12
1685c533b69ad59e1663c83cae2c8803,0,0,0,0,0,0,0,390,2168,0,0,0,0,0,0,0,4,0,0,0,0,0,217
35f70b61d8f4cd520548adf9c83b29e2,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11bccb8fc20a32afe167f0f1c767e25d,0,0,0,0,18,0,0,68,40,0,0,0,0,1,0,0,0,0,0,0,0,0,2
9098278898bfb93df5512019c9c17965,0,0,0,0,41,0,0,13,200,0,0,0,0,0,0,0,0,0,0,0,0,0,9
d4f4ee151c1f446b38f63f7ca7be6b47,0,0,0,0,142,0,0,25,112,0,0,0,0,0,0,0,31,0,0,0,10,0,38
faefb5772e6d3c24244728ea09e70ef7,0,0,0,0,55,0,0,0,65,0,0,0,0,0,0,0,12,0,0,0,0,0,0
faefb5772e6d3c24244728ea09e70ef7,0,0,0,0,50,1,0,320,356,0,0,0,0,0,0,0,0,0,0,0,0,0,0
faefb5772e6d3c24244728ea09e70ef7,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
faefb5772e6d3c24244728ea09e70ef7,26,0,0,0,37,0,0,0,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0
faefb5772e6d3c24244728ea09e70ef7,2,0,0,0,119,1,0,87,915,0,0,0,0,0,0,0,18,0,0,0,0,0,176
faefb5772e6d3c24244728ea09e70ef7,0,0,0,0,76,0,0,2587,7,0,0,0,173,0,0,0,60,0,0,0,0,0,7
