name1,name2,time
2ba1a16f86c3d101c1b5b586bf631e0d,23bf971d342f29c6208178382a79b03b,2
01043-121.54792-31.27682001,010321-121.54792-31.27682001,18
b6cb895dd93acf9c5331eb61ff68a6e2,81d57a50249ad596e6cd3242cd8def56,2
123016-121.44227-31.22086001,123014-121.44227-31.22086001,3
043599d994c55276cc473e643fc957d3,57e382184c8fb12a58e9f7316387e93e,2
12306-121.51657-31.26048001,122921-121.51657-31.26048001,11
70813b9294ba321331e3167ea968b804,9d1fa985f3fade974e955acbbfdc776c,2
010216-121.54944-31.18493001,01029-121.54944-31.18493001,22
8f6f50d6ba8f6d01045d515ef8e856b2,534db5fd5682b884d352e398efa4bcb5,2
01069-121.43806-31.26972001,010515-121.43806-31.26972001,3
7a70d0a90b97b4c5f3b72235e5b76288,7e6daf28537b040a1e07e84fcf3694ef,2
010218-121.47094-31.23601001,010219-121.47094-31.23601001,2
0837ce6f83f6ca2f67d649536aab5b51,8fcd9e02aa8c04561caf47f8d2b692bf,2
010411-121.4411667-31.19747223,010414-121.4411667-31.19747223,4
a9addf07c2b76866641c912ac9416f4a,1a799d79f05dd719ceb3e108047f2899,2
122822-121.4246-31.18587001,122820-121.4246-31.18587001,2
bdb33bde09c57112f54c3edeecfefff5,40777b83f8f813bdd52bc78660b92137,2
122724-121.42897-31.12278,12274-121.42897-31.12278,6
2b58a006a6d875b95a3855cf13b57168,e135563af1182760f09d81e59dbf7035,2
122716-121.4175-31.19619001,122718-121.4175-31.19619001,2
8ffcf46b7f5580e4b6b3723d356dc675,aced0e55e55c03dec482c1a832c880b5,2
122911-121.43861-31.18806001,122912-121.43861-31.18806001,4
d60c91bd71e0f04532263dfcaf75918b,2af6a28e7735d93df7c790b03a121822,2
12279-121.47552-31.23922001,12278-121.47552-31.23922001,2
f3e9b0085da9249e6d3312dc37e9b55d,0b0dbf90c4dfa09719421cc5b3c3faf9,2
010414-121.55907-31.29085001,010615-121.55907-31.29085001,2
a13a6b79d2c26b85b97cb74fb79fbda8,0b0dbf90c4dfa09719421cc5b3c3faf9,2
12311-121.54792-31.27682001,123120-121.54792-31.27682001,49
6c86df65f69ab8ec961e91b05c2a6ec6,b37cf05bdd907956ec87fd7413bf36f7,2
010115-121.40966-31.21061001,010116-121.40966-31.21061001,2
0ff5c26c17f61d1fbef8d851c34cd4d4,0f64a02b305bd6321abbc871d3d535f4,2
010420-121.51673-31.14367001,010124-121.51673-31.14367001,2
711db3fa102ce20fb598717cab22df00,0749521f8e362cd8e901ee9fea0df5dc,2
12271-121.51-31.22830001,01052-121.51-31.22830001,6
1d54d158caa3c9fc8c4bc0ea7c8e8e8f,0e18c354dc7cfcbf61fc5492a28b541d,2
122711-121.47589-31.20974001,010212-121.4778-31.23950001,2
70813b9294ba321331e3167ea968b804,664db92510df93eb613c67de78208f20,2
010211-121.54944-31.18493001,010212-121.54944-31.18493001,2
4a490cde957954c7b04a7bdcd27f907a,3f8d3e3c4acdc7ff19c95635f6b53850,2
122912-121.5114,30.84606001,8
b17bdff6f263073b5ca2c2aa76b4b5e9,aa1c008ec52aad2d60818a04b943585b,2
122815-121.39008-31.22551001,122816-121.39008-31.22551001,2
0114aa1eed19eb6046a572566bd6e1c8,a038627834472c6007d8d49dead98203,2
010119-121.7739-31.49130001,010117-121.7739-31.49130001,2
3e689eaa7347607926149bfffd062054,10004f6805d1ab0a663d65b12f67cd42,2
12272-121.48215-31.21176001,010214-121.48215-31.21176001,4
0cc2492d478ad3716d877f94682f64e7,d19774c56f1f8ae3f811f474dcc87546,2
122714-121.222-31.05190001,122711-121.222-31.05190001,2
648d1b0472f29c729cc75f0f688a22a9,ba3c94c27c52a13de613621569102ae3,2
010420-121.49453-31.27447001,122814-121.49453-31.27447001,2
942e825947665da76befc77a2f4935c6,3f1c9ce46586998e0978de10bb1816e6,2
010419-121.40333-31.21361001,122810-121.40721-31.21961001,2
d9fcddda9ca74f4c786bb956feff9d81,950c10912ecf47611d8fc210c2e6b368,2
122913-121.47916-31.23264001,122912-121.47916-31.23264001,2
15ea0f4868068954894718836ad66ae7,522e470907e72d7d062c4fb6497a7128,2
12276-121.52548-31.21688,12278-121.52548-31.21688,13
e2c2df36bbc925db691789b720dc1fc2,acbbe8e5d6e79e90cf35ca906962252e,2
010512-121.45419-31.24132001,010515-121.45419-31.24132001,3
6cb3af0bd95e1c5b200b3d612e432e58,a9ab2ba581ea3c9e96463cd64d372043,2
123016-121.49998-31.24314001,123011-121.49998-31.24314001,2
02d7b467928a56f39067b7b27ea228fb,258e11f139132a5921604302583c9892,2
010318-121.44086-31.32584001,010317-121.44086-31.32584001,2
49e13d23fa243f0de32aaa28ff7c0769,4936aa02ba3cfdba50b2ef54b8017a3f,2
123021-121.52793-31.28212001,12311-121.52793-31.28212001,2
63b303e0111dd38173d7cf1d66880f93,97e50d87c57a9d07a258113bb54a8634,2
01057-121.42212-31.27336001,122816-121.42212-31.27336001,8
6319dab9acc8f545d50c7aee74b4fe6a,92af576960f5f5e1727303859cddfdd7,2
122921-121.39756-31.24996001,12316-121.40069-31.24175001,2
4114e84946d75e317bc1a49fb163f626,5ad5416c50567bed54e8156d0eeb2bda,2
010510-121.5158-31.08537,123121-121.5158-31.08537,9
8fb2b990ff2719508c9f99f3c85c8736,a75fec7a171a794e9a5638110c1dff24,2
123112-121.38726-31.18293001,123111-121.38726-31.18293001,2
53bcf1a55d27b68897f515b03a6ac73b,1afea26d9c5f71c05e50fab015584c00,2
010513-121.43058-31.22626001,122912-121.43058-31.22626001,10
1ce7a38e436829f675fb35fae829e86d,386b7efc46a3896fbed4a55611675736,2
122824-121.42723-31.25086001,12293-121.42723-31.25086001,2
